text_id	text	label
3488	When I yell at my child	0
41055	I felt ... when my team and I brought in a major client for construction to the organization. The news was well received by the whole company and we got a lot of recognition and credit for our hard work.	0
52025	I felt ... when we saw that people were still waiting at the bus stop be sure I had slept in and had been rushing to get my son ready for school, as I had to work, and if we missed the bus I'd have been late for work and I have severe anxiety about being late. So when we left the building and looked down the street to the bus stop and saw people waiting still, ... washed over me because I knew everything was going to be okay.	0
7143	we went on a hike on a UK holiday. The weather was warmer than we anticipated, the hike was rougher, we didn't take enough to drink as we were stopping at a cafe on the way. The cafe had closed! We had to trawl all the way back to the holiday cottage and when I saw it on the horizon, got there and had a long drink, that was true ....	0
51365	When i watched a tv program my husband was deeply invested in	0
51634	When my children graduated from university	0
4734	When I got my A level results	0
7158	I took magic mushrooms and watched Edward Scissorhands	0
3234	my child wanted me to play the same game with him for the umpteenth time.	0
51069	I felt ... when I didn't make time to call my friend back on the weekend.	0
52894	when i was collect I was very sick and there was no cash with me to get some stuff, it was a terrible situation but i have to ... a girl friend of my whom i have been hiding my actual balance from with my Card and the pin to help get those things i needed. i was very afraid, for many hours she was gone with my phone i was like what if and what if	0
51926	I went to my first baby scan	0
6588	meeting two new people at a recent wedding	0
4644	I was really late to pick my kid up from school	0
4856	I travelled to Disney world in Florida with my family because it had been a life long dream and we enjoyed every second.	0
220	I get extremely ... at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the ... by doing surveys, or just chatting with my co-workers, or friends on my phone.	0
6124	I had to check all of my ropes equipment. You have to check every single bit as well as serial numbers. It takes a long time and is very repeatative.	0
51500	When I walked my dog this morning.	0
41326	I was worried that my mail was stolen (this would've been the 3rd time this week) but I came inside and someone was kind and put it inside the door of my apartment building for me.	0
3492	I felt ... when I knew someone was about to lose their job before they was made aware, and couldn't make them aware beforehand.	0
3223	I do the same thing over and over again	0
64	I was buying a car and it was taking longer and was more complicated than it needed to be	0
52339	I revealed a family secret acccidently	0
3582	The day I got married	0
6401	"When I stole a Yu-Gi-Oh card in Grade 2. Funny thing was, it was actually my own card that another kid had just stolen from me, but I felt so ... about ""stealing"" it back from him that I relented and gave it back to him again."	0
51414	I felt ... when tickets for a show I wanted to see were cancelled for the 3rd time becasue of Covid 19.	0
3321	I was dating a girl during high school and after some date I took her home. Normally I would just drop her off and head home myself, but this time she and her guardian invited me inside to relax before the long drive home. Once inside I discovered that her family were hoarders and rarely, if ever, would clean the house using actual products. The house had a smell to it that would differ between rooms, but it always seemed to be a sweet-and-sour kind of stench. At the time I never said anything aside from offering to clean some stuff, but it was often physically ... to be inside the house for any extended period of time.	0
31289	I felt ... when I was nominated to attend a class over summer at Berkley.	0
41321	I felt ... after getting my first car	0
2157	I found out I didn't love my credit card	0
51624	I feel ... when I complete a task well at work	0
4947	I dropped my child off to daycare for the very first time	0
4771	I felt ... when I did well in all of my classes for a semester and made the Dean's List at my college.	0
396	I felt ... when my friend's girlfriend touched my stuff without permission.	0
344	people push my boundaries and attempt to control my way of living.	0
5700	I felt ... when I stumbled upon a racist twitter account that continued to post ... content even after I had reported it numerous times	0
3167	I felt ... when I was stuck at home with nothing to do. I got into a car crash a couple years ago and did not have any transportation so I was stuck at home for a while. Sometimes my friends would visit which was fun, but when everyone was busy and I had nowhere to go I was extremely ... because I felt stuck with nothing to do.	0
41794	my good friend shared something personal with me	0
52503	I felt ... when I was 14 years old and my Dad returned earlier from a 3 month business trip to pick me up from school. I didn't know he was coming to pick me up and as far as I knew he was stilling working, so it was a very pleasant ....	0
31186	My boyfriend proposed to me.	0
52590	I felt ... when I was out one day picking up trash in the park and a woman around my age came up to me and was so excited to see what I was doing, she asked for my phone number and said maybe we could hang out sometime and get our kids to hang out. I was ... because no one had ever been that excited about something I was doing, and as an adult I'd never had a stranger ask for my number and want to be my friend so randomly like that.	0
649	When my husband's business partner became pregnant because I wanted my husband to be employed by a company instead of him being a director of his company which was failing. I wanted him to apply for a local job which had amazing benefits and amazing pay and it was obvious that their business idea wasn't going to work in the long run. My husband refused to apply saying he was going to let his business partner down. Then a couple months later as the company was slowly losing money his business partner announced she was pregnant, but she was 5 months pregnant so knew for a while! I felt so ... because my husband decided to then find a job and I wish he just listened to me from the beginning.	0
815	I found out my Aunt had passed away from covid at the beginning of the year. She spent chrstmas day with her daughter, son in law and their kids however caught covid over christmas dinner. Within a week she had gone from being completely healthy and fit to being rushed to hospital. We received a text message from the family one afternoon early January to say she had been admitted to hospital with covid, within 24 hours she had gone onto a ventilator and ... passed away.	0
5632	Someone made an innapropriate comment about my weight	0
51769	I obtained my air brake endorsement on my drivers license.	0
6696	I saw my daughter perform at her gymnastics show	0
4704	I was late to pick my child up from nursery and she was the only child left	0
41585	I reacted out of anger and said hurtful words to my spouse.	0
51765	When my brother came out to me as Transgender.  I felt nothing but love for him when he told me, and I couldn't have felt more ... of him for accepting himself for who he is.	0
52029	I was assigned my project of choice for my final year degree project	0
